venue_id,ts_utc,ts_local,horizon_hours,model,p10,p50,p90,hour,weather_source,temperature_2m,precipitation,weathercode_str,generated_at
2,2026-09-03T21:00:00Z,2026-09-04T00:00:00+03:00,1,baseline,0.0,0.0,0.0,0,forecast,12.1,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-03T22:00:00Z,2026-09-04T01:00:00+03:00,2,baseline,0.0,0.0,0.0,1,forecast,12.1,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-03T23:00:00Z,2026-09-04T02:00:00+03:00,3,baseline,0.0,0.0,0.0,2,forecast,11.6,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T00:00:00Z,2026-09-04T03:00:00+03:00,4,baseline,0.0,0.0,0.0,3,forecast,11.2,0.1,light_drizzle,2026-09-02T21:48:42Z
2,2026-09-04T01:00:00Z,2026-09-04T04:00:00+03:00,5,baseline,0.0,0.0,0.0,4,forecast,11.1,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T02:00:00Z,2026-09-04T05:00:00+03:00,6,baseline,0.048,0.134,0.223,5,forecast,10.8,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T03:00:00Z,2026-09-04T06:00:00+03:00,7,baseline,0.405,1.122,1.866,6,forecast,10.5,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T04:00:00Z,2026-09-04T07:00:00+03:00,8,baseline,0.394,1.09,1.813,7,forecast,10.4,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T05:00:00Z,2026-09-04T08:00:00+03:00,9,baseline,0.861,2.381,3.962,8,forecast,10.7,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T06:00:00Z,2026-09-04T09:00:00+03:00,10,baseline,0.787,2.176,3.62,9,forecast,11.0,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T07:00:00Z,2026-09-04T10:00:00+03:00,11,baseline,0.815,2.255,3.751,10,forecast,12.0,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T08:00:00Z,2026-09-04T11:00:00+03:00,12,baseline,1.934,5.349,8.899,11,forecast,13.1,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T09:00:00Z,2026-09-04T12:00:00+03:00,13,baseline,5.563,15.39,25.602,12,forecast,14.2,0.0,overcast,2026-09-02T21:48:42Z
2,2026-09-04T10:00:00Z,2026-09-04T13:00:00+03:00,14,baseline,10.007,27.683,46.052,13,forecast,15.2,0.0,overcast,2026-09-02T21:48:42Z
